"sp__checks","v","080716","S.Zaglio","disable checks for all tables of optional other db"
"sp__script_table","v","121010.1700","s.zaglio","added sql92,nopkx options and sql92 output"
"sp__svn","v","090910","s.zaglio","added output of all script of cur db to svn"
"sp__chknulls","v","110210","s.zaglio","added more params"
"sp__test_server","v","090122","S.Zaglio","again quoting management and expanded @cmd to 4000 chars"
"sp__file_get","r","130906","s.zaglio","adapting to new fn__parse_url and sp__parse_url"
"sp__token_name","v","090811","s.zaglio","parse next tokens to extract a table path"
"sp__man","r","131013","s.zaglio","show manual of object of search by keywords"
"sp__comment","v","100328.1000","s.zaglio","support of proc,func,view..."
"sp__sysobjects_test","v","131002","s.zaglio","test for fn__script_drop.fn__sysobjects"
"sp__utility_setup","v","140109.1000","s.zaglio","moved call of sp__job_test into sp__utility_setup_test"
"sp__util_connections","v","121025","s.zaglio","list active connections and some useful info"
"sp__top_waits","v","080918","S.Zaglio","originally from http://www.sqldbatips.com/showcode.asp?ID=3"
"sp__format","v","130624","s.zaglio","added 0<3 into test to allow out usage"
"sp__web","v","130927.1800","s.zaglio","added integrated authentication and refactor of errors"
"sp__script_compile","v","130605","s.zaglio","removed printf deprecated parameters"
"sp__trim","v","091018","S.Zaglio","strim chars on left an right from strings"
"sp__copy_test_bcp","v","091018","s.zaglio","test for bcp form of sp__copy"
"fn__at","v","091018","s.zaglio","added null control: nb: problem on ' ', see tests"
"fn__str_between","v","130217","s.zaglio","added option close left"
"sp__update","v","081219","S.Zaglio","added @rows"
"sp__count","v","111214","s.zaglio","now @tables can use wild chars and restyled"
"fn__base64decode","v","120123","s.zaglio","convert a nvarchar with base 64 to text"
"fn__job","v","131215","s.zaglio","maybe more compatible with future versions of mssql"
"sp__usage","v","120824","s.zaglio","added usage of #sp"
"sp__csvio","v","100509","s.zaglio","define structure for txt i/o"
"fn__base64encode","v","120123","s.zaglio","convert a nvarchar to base 64 code"
"fn__str_sheet","v","131006","s.zaglio","optimized sep reduction"
"sp__util_1strace","v","101130","s.zaglio","show current trace info"
"sp__csvio_in","v","100509","s.zaglio","inport a txt file into a table with csvio"
"fn__breset","v","090428","S.Zaglio","provided only for study"
"enums","v","130217","s.zaglio","generic enumerators"
"sp__util_3load","v","100508","s.zaglio","load/reload data from a remote server, triangulating from a 2nd rmtsvr"
"sp__db_md5","v","090908","S.Zaglio","added some usefull query in comments"
"sp__hkey","r","130929","s.zaglio","convert a list of keys in horizontal"
"fn__bset","v","090428","S.Zaglio","provided only for study"
"fn__hash","v","130707","s.zaglio","bypasses the limit of 8000 bytes of MS hashbytes"
"sp__util_advopt","v","100405","s.zaglio","show local ad options"
"sp__delete","v","081219","S.Zaglio","delete a random row of a table"
"fn__charcount","v","100204","s.zaglio","count char occurrence"
"fn__script_sign","v","131123","s.zaglio","added default exclusion of charset&collation"
"sp__script_utility_setup_test","v","140109","s.zaglio","check"
"sp__util_cache_empty","v","091209","s.zaglio",""
"sp__script_transfer","r","121010","s.zaglio","short comment"
"fn__charindex","v","130902","s.zaglio","a bug when len(@what)>1"
"sp__dir_base_objects","v","090124","S.Zaglio","list objects grouped by roots"
"sp__email","r","131223.1100","s.zaglio","unified sense of attached data table"
"sp__util_gource","v","120823","s.zaglio","return a custom log for gource"
"sp__displayoaerrorinfo","v","000000","s.zaglio","used by sp_displaypkgerrors,execute_dts,run_dts"
"fn__str_params","v","130909","s.zaglio","optimized using with"
"sp__email_job","r","120101","s.zaglio","manage deferred emails"
"sp__util_instances","v","120112","s.zaglio","list infor about running instances"
"sp__displayPKGErrors","v","091018","s.zaglio","display errors from spExecuteDTS execution"
"fn__comment","v","100328","s.zaglio","adapted to fn__comment_types"
"sp__exec","v","130308","s.zaglio","better help and info"
"sp__geocode","v","120124","s.zaglio","ask google for coords"
"fn__flds_type_of","v","151106","s.zaglio","added collate database_default"
"sp__util_drives","v","130802","s.zaglio","about drop of #drive_info"
"sp__plan_calendar_test","r","121118","s.zaglio","test plan calendar functions"
"sp__script","v","171214","s.zaglio","added %license%(@license_tag) in #vars"
"sp__get_env","v","091018","s.zaglio","added help"
"sp__util_vlf","v","130227","s.zaglio","mixed with sp__util_drives"
"sp__get_temp_dir","v","131208","s.zaglio","added opt TF and TEST"
"fn__global_get","v","080402","S.Zaglio","read from a registry (of MSSQLServer\MyGlobalVars branch) the value"
"sp__perf_worsts","v","120609","s.zaglio","refine"
"sp__recompile","v","090811","s.zaglio","removed apply of alter on #src'"
"fn__str_print","v","100724","s.zaglio","added = and '"
"sp__web_submit","v","120905","s.zaglio","removed dbg info"
"sp__script_sign_test","v","131123","s.zaglio","adapted to new fn__script_sign"
"sp__reg_write","v","100919.1000","s.zaglio","write/delete a windows registry"
"sp__deprecated","v","140103","s.zaglio","list only objects to deprecate"
"fn__str_quote","v","120724","s.zaglio","modified to complete left or right quote"
"sp__restore","v","131014.2300","s.zaglio","a small bug under mssql2k12"
"fn__format","v","130510","s.zaglio","added 0<n"
"fn__str_remove","v","081110","S.Zaglio","expanded @seps to nvarchar(32)"
"sp__ruler","v","100917","s.zaglio","print a rules for text imports"
"fn__str_replace","v","120117","s.zaglio","func version of sp__str_replace"
"sp__run_cmd","v","091127","s.zaglio","added @print and use of sp__print_table"
"fn__str_scramble","v","110527","S.Zaglio","a remake (the older will be a str generator)"
"sp__run_dts","v","090121","S.Zaglio","changed name from sp__execute_DTS"
"fn__str_pad","v","130523","s.zaglio","changed tag d of fn__pad to o"
"fn__str_simplify","v","090624","s.zaglio","default left/right trim"
"fn__range","v","130808","s.zaglio","faster but for mssql2k5 or greater"
"sp__script_pkey","v","121003","s.zaglio","use of script_synonym"
"sp__run_vbs","v","100919","s.zaglio","adapted to sp__err and other conventions"
"fn__unix_timestamp","v","120823","s.zaglio","convert datetime to unix format"
"fn__server_info","v","130517","s.zaglio","return info about this server, changed from txt to tbl"
"fn__subst","v","080430","S.Zaglio","@action=1->left part of string from @from"
"sp__script_synonym","v","121003","s.zaglio","follow synonym and return real object or script"
"sp__dependent","v","130521.1000","s.zaglio","print the tree of dependencies of an object"
"fn__t9","v","090609","S.Zaglio","adapted to sqlce"
"sp__dir","v","131117.1000","s.zaglio","more detailed dbg info and enlarged @files.key size"
